City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-03-31 19:59:25,-9.8,-139.0333,80.51,76,90,13.38
1,Varnavino,RU,2021-03-31 19:59:25,57.4035,45.0916,33.35,98,100,10.49
2,Dikson,RU,2021-03-31 19:59:25,73.5069,80.5464,-21.53,88,97,4.43
3,Hermanus,ZA,2021-03-31 19:59:26,-34.4187,19.2345,60.01,93,100,6.08
4,Barrow,US,2021-03-31 19:59:26,71.2906,-156.7887,-9.4,64,1,21.85
5,Bethel,US,2021-03-31 19:54:36,41.3712,-73.414,64.4,59,90,12.66
6,Tongliao,CN,2021-03-31 19:59:26,43.6125,122.2653,43.57,49,73,7.94
7,Mar Del Plata,AR,2021-03-31 19:59:06,-38.0023,-57.5575,68.0,73,20,10.36
8,Arraial Do Cabo,BR,2021-03-31 19:59:26,-22.9661,-42.0278,80.6,78,40,21.85
9,Marawi,PH,2021-03-31 19:59:27,7.9986,124.2928,77.0,90,69,4.0
10,Ramtek,IN,2021-03-31 19:59:27,21.4,79.3333,84.2,24,2,4.61
11,Qaanaaq,GL,2021-03-31 19:55:27,77.484,-69.3632,4.01,90,100,18.9
12,Saldanha,ZA,2021-03-31 19:59:27,-33.0117,17.9442,62.6,77,100,6.91
13,Upernavik,GL,2021-03-31 19:59:27,72.7868,-56.1549,6.48,68,100,6.02
14,Egvekinot,RU,2021-03-31 19:59:28,66.3167,-179.1667,-5.49,91,83,3.24
15,Jumla,NP,2021-03-31 19:59:28,29.2747,82.1838,43.77,52,1,6.69
16,Matagami,CA,2021-03-31 19:59:28,49.7502,-77.6328,21.2,73,90,17.27
17,Sao Goncalo Do Amarante,BR,2021-03-31 19:59:28,-3.6072,-38.9683,80.01,81,99,11.99
18,Waitara,NZ,2021-03-31 19:59:29,-38.925,174.25,55.0,92,70,14.0
19,Punta Arenas,CL,2021-03-31 19:59:29,-53.15,-70.9167,50.0,71,0,6.91
20,Hilo,US,2021-03-31 19:57:43,19.7297,-155.09,75.0,75,75,4.61
21,Mwandiga,TZ,2021-03-31 19:59:29,-4.83,29.6581,69.8,94,75,3.53
22,Rikitea,PF,2021-03-31 19:59:30,-23.1203,-134.9692,79.25,71,59,18.21
23,Saint George,US,2021-03-31 19:59:03,37.1041,-113.5841,57.2,12,1,1.3
24,Busselton,AU,2021-03-31 19:54:55,-33.65,115.3333,66.0,85,100,5.01
25,Bluff,NZ,2021-03-31 19:59:30,-46.6,168.3333,39.99,95,31,10.18
26,Yellowknife,CA,2021-03-31 19:59:30,62.456,-114.3525,21.0,53,90,8.05
27,Soyo,AO,2021-03-31 19:59:30,-6.1349,12.3689,78.39,85,100,6.24
28,Ponta Do Sol,PT,2021-03-31 19:59:31,32.6667,-17.1,57.99,70,26,5.01
29,Dunedin,NZ,2021-03-31 19:57:03,-45.8742,170.5036,48.0,71,0,4.0
30,Los Llanos De Aridane,ES,2021-03-31 19:59:31,28.6585,-17.9182,69.8,46,20,13.8
31,Nara,JP,2021-03-31 19:59:31,34.6851,135.8049,50.0,58,100,2.95
32,Sharan,RU,2021-03-31 19:59:31,54.8167,54.0,30.7,84,100,19.75
33,Hobart,AU,2021-03-31 19:56:35,-42.8794,147.3294,66.2,59,0,11.5
34,Tuatapere,NZ,2021-03-31 19:59:32,-46.1333,167.6833,39.99,95,32,6.22
35,Zhangye,CN,2021-03-31 19:59:32,38.9342,100.4517,40.14,65,100,5.17
36,Victoria,HK,2021-03-31 19:57:57,22.2855,114.1577,78.01,85,100,1.01
37,New Norfolk,AU,2021-03-31 19:59:32,-42.7826,147.0587,66.2,59,0,11.5
38,Severo-Kurilsk,RU,2021-03-31 19:59:33,50.6789,156.125,36.32,97,100,13.6
39,Vaini,TO,2021-03-31 19:59:33,-21.2,-175.2,78.8,94,75,6.91
40,Kruisfontein,ZA,2021-03-31 19:59:33,-34.0033,24.7314,64.99,80,60,1.01
41,Kodiak,US,2021-03-31 19:59:33,57.79,-152.4072,30.2,59,90,10.36
42,Saskylakh,RU,2021-03-31 19:59:34,71.9167,114.0833,-31.72,100,100,6.85
43,Constitucion,CL,2021-03-31 19:59:34,-35.3333,-72.4167,65.01,69,100,11.41
44,Genhe,CN,2021-03-31 19:59:34,50.7833,121.5167,27.25,99,95,2.35
45,Pitimbu,BR,2021-03-31 19:59:34,-7.4706,-34.8086,86.0,70,40,11.5
46,Kenai,US,2021-03-31 19:59:35,60.5544,-151.2583,28.4,93,1,4.18
47,Ushuaia,AR,2021-03-31 19:55:05,-54.8,-68.3,51.8,50,0,3.44
48,Port Lincoln,AU,2021-03-31 19:56:22,-34.7333,135.8667,67.01,59,83,4.56
49,Seaforth,JM,2021-03-31 19:59:35,17.9358,-76.4573,86.0,70,20,27.63
50,Pevek,RU,2021-03-31 19:59:35,69.7008,170.3133,-14.15,94,100,0.63
51,Beloha,MG,2021-03-31 19:59:35,-25.1667,45.05,66.6,72,0,7.99
52,Zhanakorgan,KZ,2021-03-31 19:59:36,43.9098,67.2495,37.44,57,80,10.89
53,Turukhansk,RU,2021-03-31 19:59:36,65.8167,87.9833,-13.68,100,99,5.39
54,Arcachon,FR,2021-03-31 19:59:36,44.5875,-1.0519,68.0,52,0,9.22
55,Xique-Xique,BR,2021-03-31 19:59:36,-10.8218,-42.7263,86.63,51,92,4.7
56,Bathsheba,BB,2021-03-31 19:55:05,13.2167,-59.5167,82.4,54,40,24.16
57,Drinovci,BA,2021-03-31 19:59:05,43.355,17.3539,66.2,39,0,5.75
58,East London,ZA,2021-03-31 19:59:37,-33.0153,27.9116,66.79,83,99,8.79
59,Mount Isa,AU,2021-03-31 19:59:37,-20.7333,139.5,75.2,38,0,9.22
60,Nuevo Progreso,MX,2021-03-31 19:59:37,23.1667,-97.95,91.0,49,100,10.0
61,Horsham,GB,2021-03-31 19:59:38,51.064,-0.3272,59.0,63,0,2.3
62,Hofn,IS,2021-03-31 19:59:38,64.2539,-15.2082,39.2,65,0,4.61
63,Fortuna,US,2021-03-31 19:59:38,40.5982,-124.1573,73.4,28,20,3.44
64,Coalinga,US,2021-03-31 19:59:38,36.1397,-120.3602,81.0,13,0,6.67
65,Nexo,DK,2021-03-31 19:59:39,55.0607,15.1306,41.0,75,7,2.3
66,Murray Bridge,AU,2021-03-31 19:59:39,-35.1167,139.2667,66.99,50,15,6.42
67,Luderitz,NA,2021-03-31 19:59:39,-26.6481,15.1594,67.77,60,0,12.97
68,Volosovo,RU,2021-03-31 19:59:39,59.4333,29.4833,35.6,87,0,4.47
69,Champerico,GT,2021-03-31 19:59:40,14.3,-91.9167,95.0,49,20,6.91
70,Talaya,RU,2021-03-31 19:59:40,61.3833,152.75,7.79,97,100,3.06
71,Baindur,IN,2021-03-31 19:59:40,13.8667,74.6333,79.41,78,65,5.66
72,Naze,JP,2021-03-31 19:59:41,28.3667,129.4833,65.88,83,100,10.27
73,Te Anau,NZ,2021-03-31 19:59:41,-45.4167,167.7167,42.76,90,23,1.03
74,Rocky Mount,US,2021-03-31 19:59:41,35.9382,-77.7905,78.8,64,90,12.66
75,Maningrida,AU,2021-03-31 19:59:41,-12.0667,134.2667,75.02,79,97,9.86
76,Codrington,AU,2021-03-31 19:55:41,-38.2667,141.9667,59.83,62,71,8.39
77,Hami,CN,2021-03-31 19:59:42,42.8,93.45,42.98,35,20,8.1
78,Airai,TL,2021-03-31 19:59:42,-8.9266,125.4092,59.14,95,98,1.59
79,Clyde River,CA,2021-03-31 19:59:42,70.4692,-68.5914,-5.8,71,75,5.75
80,Puerto Carreno,CO,2021-03-31 19:59:42,6.189,-67.4859,90.54,43,100,7.2
81,Mahebourg,MU,2021-03-31 19:55:30,-20.4081,57.7,77.0,88,20,3.44
82,Kyzyl,RU,2021-03-31 19:59:43,51.7,94.45,14.29,76,4,1.92
83,Broome,US,2021-03-31 19:59:43,42.2506,-75.833,57.0,87,90,6.91
84,Foumban,CM,2021-03-31 19:59:43,5.7291,10.9001,74.16,27,100,3.11
85,Grand Gaube,MU,2021-03-31 19:59:43,-20.0064,57.6608,77.0,84,1,3.0
86,Portland,US,2021-03-31 19:56:18,45.5234,-122.6762,64.0,41,70,1.99
87,Beringovskiy,RU,2021-03-31 19:59:44,63.05,179.3167,4.86,88,88,2.13
88,Tabou,CI,2021-03-31 19:59:44,4.423,-7.3528,79.32,86,96,6.38
89,Bambous Virieux,MU,2021-03-31 19:56:44,-20.3428,57.7575,77.0,88,20,3.44
90,Lompoc,US,2021-03-31 19:55:35,34.6391,-120.4579,80.6,22,0,6.91
91,Caravelas,BR,2021-03-31 19:59:44,-17.7125,-39.2481,82.09,74,0,9.44
92,Ribeira Grande,PT,2021-03-31 19:59:45,38.5167,-28.7,59.0,58,20,11.5
93,Nanortalik,GL,2021-03-31 19:59:45,60.1432,-45.2371,31.64,89,95,2.1
94,Ustye,RU,2021-03-31 19:59:45,59.6304,39.736,33.01,96,100,7.94
95,Dingli,MT,2021-03-31 19:59:46,35.8614,14.3822,57.99,82,0,6.91
96,Avarua,CK,2021-03-31 19:59:46,-21.2078,-159.775,82.4,69,2,11.5
97,Luchegorsk,RU,2021-03-31 19:59:46,46.4764,134.2569,32.97,76,0,2.84
98,Danjiangkou,CN,2021-03-31 19:59:46,32.5428,111.5086,51.37,89,100,4.27
99,Margate,GB,2021-03-31 19:59:47,51.3813,1.3862,60.01,83,78,6.69
100,Tezu,IN,2021-03-31 19:59:47,27.9167,96.1667,66.58,71,79,5.7
101,Asau,RO,2021-03-31 19:59:47,46.4333,26.4,48.99,41,100,2.24
102,Carnarvon,AU,2021-03-31 19:59:01,-24.8667,113.6333,73.4,88,0,1.14
103,Albany,US,2021-03-31 19:58:42,42.6001,-73.9662,57.99,66,100,3.0
104,Castro,BR,2021-03-31 19:55:13,-24.7911,-50.0119,67.55,65,0,4.38
105,Rawlins,US,2021-03-31 19:55:25,41.7911,-107.2387,43.0,22,1,18.41
106,Hithadhoo,MV,2021-03-31 19:59:48,-0.6,73.0833,83.05,76,41,21.59
107,Caldwell,US,2021-03-31 19:59:48,43.6629,-116.6874,55.99,26,1,6.91
108,Dromolaxia,CY,2021-03-31 19:59:48,34.8761,33.586,57.2,77,20,10.36
109,Port Alfred,ZA,2021-03-31 19:55:06,-33.5906,26.891,68.13,80,100,10.54
110,Ascension,US,2021-03-31 19:59:49,30.2169,-90.9001,82.99,69,90,5.75
111,Sitka,US,2021-03-31 19:59:49,57.0531,-135.33,35.6,93,90,4.61
112,Borger,NL,2021-03-31 19:57:21,52.9233,6.7931,60.01,65,68,4.76
113,Tiksi,RU,2021-03-31 19:59:32,71.6872,128.8694,-2.38,99,100,10.11
114,Hasaki,JP,2021-03-31 19:59:49,35.7333,140.8333,54.0,76,75,9.22
115,Mataura,NZ,2021-03-31 19:59:49,-46.1927,168.8643,39.99,95,30,3.29
116,Port Elizabeth,ZA,2021-03-31 19:55:09,-33.918,25.5701,62.6,94,20,13.8
117,Nishihara,JP,2021-03-31 19:59:50,26.1842,127.7558,73.4,94,90,12.66
118,Shimoda,JP,2021-03-31 19:59:50,34.6667,138.95,61.0,78,100,3.0
119,Forio,IT,2021-03-31 19:59:50,40.7342,13.8646,62.01,44,41,8.46
120,Tasiilaq,GL,2021-03-31 19:59:51,65.6145,-37.6368,30.2,100,90,8.99
121,Nevsehir,TR,2021-03-31 19:59:51,38.9167,34.6667,42.8,87,75,5.75
122,Bredasdorp,ZA,2021-03-31 19:54:58,-34.5322,20.0403,62.6,77,96,6.91
123,Fuling,CN,2021-03-31 19:59:51,29.7022,107.3919,67.5,93,100,1.9
124,Talnakh,RU,2021-03-31 19:59:51,69.4865,88.3972,-23.53,81,3,4.27
125,Vardo,NO,2021-03-31 19:59:52,70.3705,31.1107,35.6,87,75,20.71
126,Puerto Ayora,EC,2021-03-31 19:59:52,-0.7393,-90.3518,82.4,74,20,9.22
127,Nizhniy Odes,RU,2021-03-31 19:59:52,63.6445,54.856,31.75,89,100,7.72
128,Souillac,MU,2021-03-31 19:59:52,-20.5167,57.5167,77.0,88,20,3.44
129,Arona,ES,2021-03-31 19:59:53,28.0996,-16.681,69.8,49,20,9.22
130,Berlevag,NO,2021-03-31 19:59:53,70.8578,29.0864,35.6,87,75,19.57
131,Saint-Philippe,RE,2021-03-31 19:59:53,-21.3585,55.7679,78.8,78,52,3.44
132,Koutiala,ML,2021-03-31 19:59:54,12.3917,-5.4642,91.27,10,23,8.41
133,Khani,GE,2021-03-31 19:59:54,41.9563,42.9566,57.2,44,0,28.77
134,Devils Lake,US,2021-03-31 19:59:54,48.1128,-98.8651,27.0,46,75,9.22
135,Eureka,US,2021-03-31 19:59:54,40.8021,-124.1637,73.4,55,1,5.75
136,Port Hardy,CA,2021-03-31 19:59:55,50.6996,-127.4199,46.4,81,75,9.22
137,Dekar,BW,2021-03-31 19:59:55,-21.5333,21.9333,71.91,43,99,6.26
138,Jardim,BR,2021-03-31 19:59:55,-21.4803,-56.1381,84.15,45,97,2.73
139,Mount Gambier,AU,2021-03-31 19:59:55,-37.8333,140.7667,55.4,76,11,8.05
140,Cherskiy,RU,2021-03-31 19:55:49,68.75,161.3,-1.25,89,100,1.99
141,Flinders,AU,2021-03-31 19:59:56,-34.5833,150.8552,57.99,86,70,1.01
142,Camacupa,AO,2021-03-31 19:59:56,-12.0167,17.4833,62.24,90,66,2.21
143,Tuktoyaktuk,CA,2021-03-31 19:59:56,69.4541,-133.0374,-16.6,76,75,21.85
144,Ostrovnoy,RU,2021-03-31 19:59:56,68.0531,39.5131,28.63,97,100,2.53
145,Cayenne,GF,2021-03-31 19:59:57,4.9333,-52.3333,82.0,89,75,10.36
146,Jasidih,IN,2021-03-31 19:59:57,24.5167,86.65,79.02,8,0,6.02
147,Fort Nelson,CA,2021-03-31 19:55:54,58.8053,-122.7002,44.6,39,75,5.75
148,Henties Bay,NA,2021-03-31 19:59:57,-22.116,14.2845,64.0,89,63,3.69
149,Klaksvik,FO,2021-03-31 19:59:57,62.2266,-6.589,39.2,65,75,5.75
150,Jackson,US,2021-03-31 19:59:58,42.4165,-122.8345,70.0,33,1,1.39
151,Cidreira,BR,2021-03-31 19:55:40,-30.1811,-50.2056,69.6,73,72,14.16
152,Slave Lake,CA,2021-03-31 19:59:58,55.2834,-114.769,42.8,49,90,29.93
153,Mayumba,GA,2021-03-31 19:59:58,-3.432,10.6554,74.75,91,100,7.18
154,Neiafu,TO,2021-03-31 19:59:59,-18.65,-173.9833,80.6,83,40,5.75
155,Torbay,CA,2021-03-31 19:59:59,47.6666,-52.7314,35.01,60,20,13.8
156,Byron Bay,AU,2021-03-31 19:59:59,-28.65,153.6167,64.4,88,75,9.22
157,Amberley,US,2021-03-31 19:59:59,39.2048,-84.428,53.01,35,1,16.11
158,Grindavik,IS,2021-03-31 20:00:00,63.8424,-22.4338,41.0,81,75,18.41
159,Kieta,PG,2021-03-31 20:00:00,-6.2167,155.6333,78.28,82,9,1.95
160,Sao Joao Da Barra,BR,2021-03-31 20:00:00,-21.6403,-41.0511,78.8,73,75,23.02
161,Corrales,US,2021-03-31 20:00:00,35.2378,-106.6067,57.0,12,1,6.91
162,Provideniya,RU,2021-03-31 20:00:01,64.3833,-173.3,1.4,66,0,4.47
163,Abu Samrah,SY,2021-03-31 20:00:01,35.3029,37.1841,51.98,71,3,10.78
164,Mizdah,LY,2021-03-31 20:00:01,31.4451,12.9801,57.58,49,0,17.49
165,Olpad,IN,2021-03-31 20:00:03,21.3333,72.75,80.6,89,20,6.91
166,Georgetown,MY,2021-03-31 19:58:01,5.4112,100.3354,81.0,94,20,2.3
167,Lorengau,PG,2021-03-31 20:00:04,-2.0226,147.2712,79.45,82,71,2.39
168,Meulaboh,ID,2021-03-31 20:00:05,4.1363,96.1285,74.48,89,100,4.45
169,Ilulissat,GL,2021-03-31 19:55:31,69.2167,-51.1,17.6,67,75,3.89
170,Kapaa,US,2021-03-31 19:55:08,22.0752,-159.319,78.8,73,75,11.5
171,Avera,US,2021-03-31 20:00:06,33.194,-82.5271,82.4,54,90,17.27
172,Jamestown,US,2021-03-31 19:59:54,42.097,-79.2353,44.01,81,90,8.05
173,Diamantino,BR,2021-03-31 20:00:07,-14.4086,-56.4461,87.26,55,39,4.76
174,Cape Town,ZA,2021-03-31 19:56:31,-33.9258,18.4232,64.0,77,75,5.75
175,Butaritari,KI,2021-03-31 20:00:09,3.0707,172.7902,80.51,82,91,14.25
176,Opuwo,NA,2021-03-31 20:00:09,-18.0607,13.84,67.6,80,67,11.9
177,Saint-Joseph,RE,2021-03-31 20:00:10,-21.3667,55.6167,78.8,78,31,3.44
178,Salinas,US,2021-03-31 19:59:19,36.6777,-121.6555,82.99,22,1,14.97
179,Orsk,RU,2021-03-31 20:00:10,51.2049,58.5668,19.4,79,0,17.9
180,San Carlos De Bariloche,AR,2021-03-31 19:56:38,-41.1456,-71.3082,71.6,35,75,10.36
181,Council Bluffs,US,2021-03-31 19:57:13,41.2619,-95.8608,48.0,25,40,23.02
182,San Cristobal,VE,2021-03-31 20:00:11,7.7669,-72.225,82.4,74,40,6.91
183,Itacarambi,BR,2021-03-31 20:00:11,-15.1022,-44.0919,93.25,29,63,7.52
184,Aksu,CN,2021-03-31 20:00:12,41.1231,80.2644,44.17,69,100,10.33
185,Necochea,AR,2021-03-31 19:55:12,-38.5473,-58.7368,69.82,53,86,11.77
186,Aranos,NA,2021-03-31 20:00:12,-24.1333,19.1167,72.9,43,80,6.55
187,Leo,BF,2021-03-31 20:00:13,11.1,-2.1,86.07,14,25,8.23
188,Linjiang,CN,2021-03-31 20:00:13,41.8069,126.9078,41.67,57,1,2.57
189,Qorveh,IR,2021-03-31 20:00:14,35.1664,47.8045,50.0,59,100,5.06
190,Fereydun Kenar,IR,2021-03-31 20:00:14,36.6864,52.5225,52.11,73,100,1.92
191,Palmas,BR,2021-03-31 19:58:16,-10.2128,-48.3603,78.8,83,20,3.22
192,Quthing,LS,2021-03-31 20:00:15,-30.4,27.7003,60.06,80,100,3.91
193,Huicheng,CN,2021-03-31 20:00:15,23.0385,116.2899,75.2,88,0,2.24
194,Adrar,MR,2021-03-31 20:00:16,20.5022,-10.0711,88.57,7,100,8.43
195,Elizabeth City,US,2021-03-31 20:00:16,36.2946,-76.2511,78.8,57,1,13.8
196,Shanghai,CN,2021-03-31 19:58:09,31.2222,121.4581,60.01,100,90,8.95
197,Tilichiki,RU,2021-03-31 19:56:41,60.4667,166.1,20.95,94,100,4.99
198,Inhambane,MZ,2021-03-31 20:00:17,-23.865,35.3833,71.6,73,20,8.05
199,Ajdabiya,LY,2021-03-31 20:00:17,30.7554,20.2263,58.53,55,0,10.22
200,Haimen,CN,2021-03-31 20:00:18,23.1935,116.6142,75.2,88,0,2.24
201,Naantali,FI,2021-03-31 20:00:18,60.4674,22.0243,35.01,93,0,8.05
202,Nikolskoye,RU,2021-03-31 20:00:19,59.7035,30.7861,36.0,87,0,4.47
203,Bembereke,BJ,2021-03-31 20:00:19,10.2283,2.6634,84.22,14,76,3.27
204,Longyearbyen,SJ,2021-03-31 20:00:20,78.2186,15.6401,28.4,69,75,3.44
205,Kokkola,FI,2021-03-31 20:00:20,63.8385,23.1307,37.99,65,0,4.61
206,Khatanga,RU,2021-03-31 20:00:21,71.9667,102.5,-42.36,100,54,1.19
207,Polonnaruwa,LK,2021-03-31 20:00:21,7.9333,81.0,76.6,84,100,3.78
208,Reo,BF,2021-03-31 20:00:21,12.3167,-2.4667,90.66,11,10,8.84
209,Kuandian,CN,2021-03-31 20:00:22,40.7286,124.7847,46.17,47,24,4.29
210,Telimele,GN,2021-03-31 20:00:22,10.9167,-13.3333,83.1,43,64,6.58
211,Llanes,ES,2021-03-31 20:00:23,43.4198,-4.7549,64.63,55,5,5.84
212,Odweyne,SO,2021-03-31 20:00:23,9.4092,45.064,75.58,23,100,8.57
213,Thompson,CA,2021-03-31 20:00:16,55.7435,-97.8558,23.0,46,40,18.41
214,Kaitangata,NZ,2021-03-31 20:00:24,-46.2817,169.8464,46.0,83,8,4.0
215,Stornoway,GB,2021-03-31 20:00:24,58.2093,-6.3865,41.0,70,20,17.27
216,Svetlaya,RU,2021-03-31 20:00:25,46.5389,138.3297,31.21,89,9,5.06
217,Chekhov,RU,2021-03-31 20:00:25,55.1431,37.4711,39.0,99,100,11.1
218,Bubaque,GW,2021-03-31 19:56:50,11.2833,-15.8333,76.68,70,0,20.22
219,Hanna,CA,2021-03-31 20:00:26,51.6334,-111.9018,53.6,28,53,5.75
220,Gerash,IR,2021-03-31 20:00:26,27.6652,54.1371,75.2,29,0,2.71
221,Syracuse,IT,2021-03-31 19:57:58,37.0881,15.2792,57.2,77,75,1.14
222,San Patricio,US,2021-03-31 20:00:27,28.017,-97.5169,80.6,69,90,23.02
223,Kysyl-Syr,RU,2021-03-31 20:00:27,63.8986,122.7617,9.43,95,100,5.19
224,Shelburne,CA,2021-03-31 20:00:28,44.0787,-80.2041,46.99,62,57,14.94
225,Salinopolis,BR,2021-03-31 20:00:28,-0.6136,-47.3561,79.39,84,100,6.87
226,Esperance,AU,2021-03-31 20:00:29,-33.8667,121.9,62.6,94,18,9.22
227,Vila Franca Do Campo,PT,2021-03-31 20:00:29,37.7167,-25.4333,60.8,88,20,6.91
228,Tynda,RU,2021-03-31 20:00:30,55.1667,124.7167,21.79,90,97,3.69
229,Ketou,BJ,2021-03-31 20:00:30,7.3633,2.5998,83.19,65,100,9.98
230,Russell,US,2021-03-31 20:00:31,32.3502,-85.1999,73.99,88,90,14.97
231,Toppenish,US,2021-03-31 20:00:31,46.3774,-120.3087,59.0,38,22,4.72
232,Hervey Bay,AU,2021-03-31 20:00:31,-25.2986,152.8535,66.0,82,90,8.05
233,Bengkulu,ID,2021-03-31 20:00:32,-3.8004,102.2655,76.96,75,100,13.76
234,Bukama,CD,2021-03-31 20:00:32,-9.2,25.85,69.76,94,98,1.1
235,Faanui,PF,2021-03-31 20:00:33,-16.4833,-151.75,81.66,75,43,8.1
236,Kendari,ID,2021-03-31 20:00:33,-3.945,122.4989,75.06,95,100,3.38
237,Sao Filipe,CV,2021-03-31 20:00:34,14.8961,-24.4956,70.39,79,2,9.66
238,Okhotsk,RU,2021-03-31 20:00:34,59.3833,143.3,8.92,77,9,12.12
239,Erenhot,CN,2021-03-31 20:00:35,43.6475,111.9767,41.29,51,100,6.62
240,Temir,KZ,2021-03-31 20:00:35,49.1414,57.13,8.19,99,75,4.23
241,Tiznit,MA,2021-03-31 20:00:36,29.5833,-9.5,63.36,51,0,1.28
242,Torrevieja,ES,2021-03-31 20:00:36,37.9787,-0.6822,59.0,70,4,13.0
243,Lower Hutt,NZ,2021-03-31 20:00:37,-41.2167,174.9167,57.2,88,75,27.63
244,Ambilobe,MG,2021-03-31 20:00:37,-13.2,49.05,74.43,95,84,2.84
245,Crotone,IT,2021-03-31 20:00:37,39.0851,17.1178,55.6,67,9,6.44
246,Gull Lake,CA,2021-03-31 20:00:38,50.1001,-108.4847,39.2,52,1,12.66
247,Pisco,PE,2021-03-31 20:00:38,-13.7,-76.2167,77.0,61,0,13.8
248,Lagoa,PT,2021-03-31 20:00:39,39.05,-27.9833,56.84,74,27,13.18
249,Ulaanbaatar,MN,2021-03-31 20:00:39,47.9077,106.8832,41.0,33,75,20.13
250,Gazanjyk,TM,2021-03-31 20:00:40,39.2446,55.5154,54.5,37,87,18.01
251,Kamaishi,JP,2021-03-31 20:00:40,39.2667,141.8833,42.6,82,3,6.31
252,Novikovo,RU,2021-03-31 20:00:41,51.1537,37.8879,44.06,76,100,9.22
253,Ginir,ET,2021-03-31 20:00:41,7.1333,40.7,60.6,65,100,4.59
254,Bilma,NE,2021-03-31 20:00:42,18.6853,12.9164,74.41,10,0,4.47
255,Itarema,BR,2021-03-31 20:00:42,-2.9248,-39.9167,77.86,88,100,8.79
256,Hambantota,LK,2021-03-31 19:56:30,6.1241,81.1185,79.7,84,97,11.83
257,Brae,GB,2021-03-31 19:56:54,60.3964,-1.353,39.2,70,90,6.91
258,Basco,PH,2021-03-31 20:00:43,20.4487,121.9702,79.65,81,3,7.2
259,Manado,ID,2021-03-31 19:55:59,1.487,124.8455,77.09,87,97,5.32
260,Chuy,UY,2021-03-31 20:00:43,-33.6971,-53.4616,68.59,68,32,9.42
261,Lebu,CL,2021-03-31 20:00:44,-37.6167,-73.65,60.6,82,95,17.31
262,Shingu,JP,2021-03-31 20:00:44,33.7333,135.9833,53.92,80,100,4.7
263,Chimbote,PE,2021-03-31 20:00:45,-9.0853,-78.5783,74.19,74,13,11.97
264,Galveston,US,2021-03-31 19:56:35,29.3669,-94.9669,78.8,73,40,12.66
265,Den Helder,NL,2021-03-31 20:00:45,52.9599,4.7593,53.01,76,90,3.44
266,Norman Wells,CA,2021-03-31 20:00:46,65.282,-126.8329,8.6,66,75,2.3
267,Narsaq,GL,2021-03-31 20:00:46,60.9167,-46.05,32.0,86,90,14.97
268,Sabang,ID,2021-03-31 20:00:47,5.8933,95.3214,81.9,71,99,26.15
269,Ploemeur,FR,2021-03-31 20:00:47,47.7333,-3.4333,57.99,62,0,8.05
270,Yar-Sale,RU,2021-03-31 20:00:47,66.8333,70.8333,9.19,93,100,21.61
271,Coihaique,CL,2021-03-31 20:00:48,-45.5752,-72.0662,53.6,62,90,4.61
272,Doha,QA,2021-03-31 20:00:48,25.2867,51.5333,75.99,64,0,2.3
273,Chokurdakh,RU,2021-03-31 20:00:49,70.6333,147.9167,-16.51,100,99,4.16
274,Behshahr,IR,2021-03-31 20:00:49,36.6923,53.5526,51.22,86,100,1.34
275,Mhlume,SZ,2021-03-31 20:00:50,-26.0333,31.85,69.8,73,100,5.75
276,Worgl,AT,2021-03-31 20:00:50,47.4833,12.0667,55.99,42,13,4.07
277,Inta,RU,2021-03-31 20:00:51,66.0317,60.1659,26.82,88,100,6.49
278,Arlit,NE,2021-03-31 20:00:51,18.7369,7.3853,77.59,9,0,12.57
279,Sainte-Rose,GP,2021-03-31 19:58:06,16.3324,-61.6979,77.0,83,75,18.41
280,Touros,BR,2021-03-31 19:56:21,-5.1989,-35.4608,84.2,74,40,12.66
